"","Cust_id","Annual_Income_Lacs","Twitter User","Number of Vehicles","Gender","Married","Daily hours of work","Affluent_Lifestyle","No of Dependents","Urban_residence","Social","Outstation_Travel_last_year"
"7684",3256,14.5,0,5,0,1,7,0,4,0,1,1
"7685",10727,14.6,0,1,0,1,6,1,5,0,1,3
"7686",9654,14.6,0,2,0,1,6,1,4,0,1,10
"7687",10320,14.9,0,2,0,1,7,1,6,0,1,4
"7688",2106,15,0,4,0,1,5,0,2,0,1,10
"7689",10269,15.1,0,3,0,1,6,1,3,0,1,2
"7690",10852,15.2,0,1,0,1,8,1,2,0,1,0
"7691",4781,15.4,0,3,0,1,7,0,7,0,1,3
"7692",1382,15.4,0,3,0,1,6,0,3,0,1,9
"7693",4087,15.7,0,5,0,1,6,0,8,0,1,1
"7694",824,15.7,0,5,0,1,7,0,2,0,1,8
"7695",5268,15.8,0,2,0,1,5,0,2,0,1,4
"7696",3112,15.9,0,4,0,1,7,0,2,0,1,3
"7697",5010,16.1,0,5,0,1,5,0,6,0,1,10
"7698",4859,16.2,0,4,0,1,7,0,3,0,1,4
"7699",3088,16.9,0,4,0,1,5,0,8,0,1,7
"7700",975,16.9,0,1,0,1,6,0,1,0,1,4
"7701",496,17,0,4,0,1,8,0,4,0,1,8
"7702",3686,17,0,1,0,1,7,0,3,0,1,1
"7703",3050,17.1,0,3,0,1,6,0,5,0,1,0
"7704",8054,17.1,0,2,0,1,6,1,5,0,1,1
"7705",7516,17.4,0,5,0,1,5,1,7,0,1,9
"7706",5726,17.9,0,4,0,1,6,1,4,0,1,8
"7707",5159,18.2,0,3,0,1,8,0,1,0,1,1
"7708",10155,18.4,0,3,0,1,6,1,8,0,1,4
"7709",10507,18.6,0,5,0,1,5,1,6,0,1,2
"7710",8170,18.7,0,4,0,1,5,1,8,0,1,2
"7711",160,19.2,0,2,0,1,7,0,1,0,1,1
"7712",1320,19.3,0,3,0,1,5,0,6,0,1,7
"7713",9664,19.3,0,5,0,1,6,1,1,0,1,1
"7714",6503,19.4,0,2,0,1,8,1,3,0,1,2
"7715",4948,19.5,0,1,0,1,7,0,3,0,1,9
"7716",7716,20.1,0,3,0,1,5,1,8,0,1,8
"7717",3816,20.4,0,5,0,1,7,0,3,0,1,6
"7718",10390,20.7,0,2,0,1,8,1,5,0,1,1
"7719",10252,21.8,0,3,0,1,7,1,5,0,1,6
"7720",3890,21.9,0,4,0,1,7,0,3,0,1,7
"7721",6879,22.1,0,4,0,1,7,1,5,0,1,1
"7722",5218,22.3,0,4,0,1,5,0,7,0,1,6
"7723",1989,22.5,0,4,0,1,8,0,1,0,1,3
"7724",10400,23,0,4,0,1,5,1,4,0,1,6
"7725",2823,23.3,0,2,0,1,5,0,1,0,1,2
"7726",7332,23.9,0,5,0,1,5,1,7,0,1,1
"7727",1092,23.9,0,3,0,1,7,0,8,0,1,5
"7728",7455,24,0,2,0,1,5,1,3,0,1,0
"7729",9818,24.2,0,2,0,1,8,1,7,0,1,6
"7730",6657,24.2,0,1,0,1,7,1,6,0,1,0
"7731",986,24.3,0,2,0,1,5,0,4,0,1,6
"7732",5194,24.4,0,1,0,1,5,0,6,0,1,5
"7733",6830,24.5,0,1,0,1,8,1,4,0,1,0
"7734",6848,24.5,0,5,0,1,8,1,8,0,1,5
"7735",6431,24.5,0,4,0,1,8,1,8,0,1,2
"7736",1263,24.9,0,4,0,1,7,0,8,0,1,0
"7737",10225,26.1,0,2,0,1,6,1,6,0,1,0
"7738",5440,27.5,0,4,0,1,8,1,4,0,1,2
"7739",5842,27.6,0,3,0,1,8,1,4,0,1,7
"7740",845,27.7,0,2,0,1,8,0,3,0,1,2
"7741",4072,27.7,0,1,0,1,5,0,8,0,1,4
"7742",8500,27.8,0,4,0,1,8,1,3,0,1,10
"7743",1776,27.8,0,3,0,1,8,0,2,0,1,6
"7744",5094,27.9,0,2,0,1,6,0,2,0,1,0
"7745",9850,27.9,0,4,0,1,8,1,2,0,1,4
"7746",430,28,0,1,0,1,5,0,7,0,1,5
"7747",2688,28.1,0,4,0,1,6,0,3,0,1,4
"7748",4607,28.4,0,3,0,1,7,0,8,0,1,2
"7749",5169,28.5,0,3,0,1,7,0,5,0,1,0
"7750",1705,28.8,0,4,0,1,8,0,5,0,1,0
"7751",7241,28.9,0,4,0,1,7,1,2,0,1,1
"7752",683,28.9,0,2,0,1,7,0,6,0,1,0
"7753",3632,29.1,0,2,0,1,8,0,7,0,1,9
"7754",2668,29.1,0,2,0,1,8,0,5,0,1,1
"7755",4152,29.3,0,1,0,1,6,0,6,0,1,8
"7756",7338,29.4,0,2,0,1,8,1,6,0,1,0
"7757",1068,29.5,0,3,0,1,8,0,6,0,1,5
"7782",1592,11,0,5,0,1,5,0,4,0,1,0
"7783",7301,11.2,0,3,0,1,7,1,5,0,1,4
"7784",5279,11.5,0,4,0,1,7,0,4,0,1,3
"7785",3830,11.8,0,5,0,1,8,0,8,0,1,5
"7786",6066,12,0,1,0,1,7,1,1,0,1,1
"7787",5896,12,0,1,0,1,5,1,7,0,1,6
"7788",8584,12.1,0,1,0,1,8,1,8,0,1,8
"7789",8842,12.2,0,1,0,1,6,1,1,0,1,9
"7790",2467,12.2,0,2,0,1,6,0,7,0,1,0
"7791",434,12.5,0,5,0,1,6,0,3,0,1,2
"7792",6194,12.9,0,1,0,1,5,1,5,0,1,4
"7793",1562,12.9,0,2,0,1,5,0,4,0,1,8
"7794",2689,13.3,0,4,0,1,6,0,6,0,1,2
"7795",5378,13.5,0,3,0,1,6,0,5,0,1,7
"7796",10430,13.7,0,2,0,1,8,1,6,0,1,4
"7797",4457,14,0,5,0,1,5,0,3,0,1,2
"7798",2660,14.1,0,3,0,1,8,0,1,0,1,2
"7799",554,14.3,0,1,0,1,8,0,6,0,1,6
"7800",7425,15.1,0,1,0,1,7,1,1,0,1,1
"7801",8452,15.2,0,4,0,1,6,1,1,0,1,4
"7802",3592,15.2,0,5,0,1,6,0,2,0,1,5
"7803",4556,15.3,0,5,0,1,5,0,8,0,1,3
"7804",10190,15.7,0,2,0,1,5,1,3,0,1,9
"7805",7005,15.8,0,3,0,1,8,1,3,0,1,3
"7806",8746,16,0,2,0,1,8,1,8,0,1,1
"7807",5212,16.2,0,3,0,1,5,0,2,0,1,8
"7808",6046,16.3,0,3,0,1,6,1,3,0,1,10
"7809",3272,17.1,0,3,0,1,6,0,2,0,1,3
"7810",6554,17.1,0,2,0,1,5,1,5,0,1,8
"7811",2045,17.7,0,1,0,1,6,0,8,0,1,1
"7812",3834,18.2,0,3,0,1,6,0,4,0,1,8
"7813",6446,18.5,0,3,0,1,5,1,4,0,1,0
"7814",2427,19.2,0,1,0,1,7,0,2,0,1,0
"7815",3750,19.3,0,2,0,1,8,0,6,0,1,9
"7816",6494,20.1,0,4,0,1,6,1,7,0,1,7
"7817",4351,20.2,0,2,0,1,5,0,6,0,1,1
"7818",5846,20.2,0,1,0,1,6,1,2,0,1,6
"7819",9592,21,0,2,0,1,6,1,4,0,1,3
"7820",8136,21.3,0,3,0,1,6,1,1,0,1,4
"7821",5470,21.4,0,3,0,1,7,1,5,0,1,4
"7822",4640,22,0,5,0,1,5,0,6,0,1,1
"7823",5411,22.2,0,5,0,1,8,0,7,0,1,3
"7824",6159,22.5,0,1,0,1,8,1,8,0,1,1
"7825",526,22.8,0,3,0,1,5,0,6,0,1,0
"7826",1716,23,0,1,0,1,6,0,7,0,1,2
"7827",2155,23.2,0,3,0,1,5,0,7,0,1,0
"7828",3972,23.3,0,1,0,1,7,0,4,0,1,4
"7829",7033,23.4,0,4,0,1,7,1,5,0,1,0
"7830",10249,23.5,0,1,0,1,8,1,2,0,1,2
"7831",1374,23.8,0,5,0,1,6,0,1,0,1,8
"7832",3773,24.1,0,4,0,1,6,0,8,0,1,2
"7833",4586,24.3,0,5,0,1,8,0,7,0,1,5
"7834",242,24.5,0,1,0,1,5,0,5,0,1,2
"7835",8018,24.6,0,2,0,1,7,1,7,0,1,6
"7836",9800,24.9,0,4,0,1,5,1,4,0,1,2
"7837",4338,25.2,0,3,0,1,5,0,4,0,1,7
"7838",5164,25.3,0,5,0,1,5,0,3,0,1,2
"7839",7576,25.3,0,2,0,1,6,1,8,0,1,8
"7840",4972,25.3,0,4,0,1,8,0,2,0,1,6
"7841",1118,25.4,0,3,0,1,5,0,4,0,1,4
"7842",10609,26.9,0,4,0,1,6,1,3,0,1,2
"7843",9478,26.9,0,2,0,1,8,1,8,0,1,7
"7844",9334,27.4,0,4,0,1,6,1,6,0,1,1
"7845",3416,27.6,0,2,0,1,7,0,6,0,1,2
"7846",250,27.7,0,2,0,1,5,0,7,0,1,5
"7847",1755,27.9,0,3,0,1,5,0,2,0,1,0
"7848",815,28.1,0,1,0,1,5,0,5,0,1,0
"7849",2036,28.4,0,4,0,1,5,0,5,0,1,3
"7850",8985,29,0,5,0,1,7,1,5,0,1,0
"7851",1330,29.1,0,4,0,1,8,0,1,0,1,5
"7852",3391,29.4,0,5,0,1,7,0,5,0,1,2
"7853",1626,29.5,0,4,0,1,5,0,1,0,1,5
"7854",5171,29.6,0,5,0,1,8,0,6,0,1,2
"7855",8780,29.7,0,4,0,1,7,1,7,0,1,5
"7856",3290,29.8,0,1,0,1,7,0,2,0,1,3
"7880",10242,8.4,0,1,0,1,8,1,1,0,1,9
"7881",1561,8.4,0,5,0,1,8,0,6,0,1,2
"7882",7830,8.8,0,3,0,1,7,1,6,0,1,7
"7883",10006,9,0,1,0,1,6,1,2,0,1,6
"7884",1062,9,0,1,0,1,7,0,2,0,1,10
"7885",505,9.1,0,4,0,1,6,0,7,0,1,2
"7886",10186,9.2,0,2,0,1,6,1,7,0,1,3
"7887",6008,9.3,0,5,0,1,6,1,6,0,1,7
"7888",10164,9.4,0,4,0,1,5,1,8,0,1,4
"7889",5684,9.4,0,1,0,1,8,1,5,0,1,1
"7890",4318,9.5,0,4,0,1,8,0,1,0,1,0
"7891",5522,9.6,0,1,0,1,5,1,2,0,1,1
"7892",3056,9.8,0,3,0,1,5,0,2,0,1,7
"7893",10788,9.8,0,2,0,1,6,1,1,0,1,4
"7894",6477,10,0,4,0,1,7,1,6,0,1,1
"7895",2670,10.3,0,3,0,1,7,0,1,0,1,6
"7896",9178,10.4,0,3,0,1,8,1,3,0,1,8
"7897",645,10.7,0,1,0,1,7,0,3,0,1,0
"7898",410,11.5,0,1,0,1,5,0,6,0,1,3
"7899",8714,11.5,0,4,0,1,7,1,8,0,1,3
"7900",3733,11.8,0,3,0,1,8,0,8,0,1,2
"7901",6538,11.9,0,5,0,1,5,1,6,0,1,4
"7902",7760,12,0,5,0,1,7,1,8,0,1,1
"7903",10000,12,0,3,0,1,6,1,7,0,1,3
"7904",9932,12.1,0,1,0,1,5,1,7,0,1,2
"7905",2889,12.5,0,4,0,1,5,0,1,0,1,0
"7906",621,12.6,0,3,0,1,5,0,7,0,1,2
"7907",97,12.8,0,5,0,1,5,0,6,0,1,1
"7908",8148,13,0,4,0,1,5,1,4,0,1,10
"7909",7781,13.8,0,3,0,1,5,1,6,0,1,1
"7910",6982,14.3,0,4,0,1,6,1,2,0,1,1
"7911",7804,14.7,0,4,0,1,8,1,7,0,1,4
"7912",9306,14.8,0,2,0,1,7,1,4,0,1,3
"7913",9555,15,0,5,0,1,8,1,3,0,1,3
"7914",2867,15.3,0,1,0,1,5,0,7,0,1,2
"7915",6370,15.5,0,4,0,1,6,1,4,0,1,0
"7916",5778,15.6,0,3,0,1,6,1,1,0,1,7
"7917",9982,16.2,0,3,0,1,7,1,2,0,1,1
"7918",8996,16.7,0,4,0,1,6,1,1,0,1,7
"7919",8545,17.3,0,5,0,1,7,1,7,0,1,2
"7920",7392,17.7,0,5,0,1,8,1,7,0,1,4
"7921",4000,17.7,0,2,0,1,5,0,8,0,1,5
"7922",3680,18.3,0,4,0,1,7,0,4,0,1,9
"7923",7110,18.5,0,2,0,1,8,1,7,0,1,7
"7924",5734,18.7,0,5,0,1,8,1,1,0,1,10
"7925",4448,19.1,0,4,0,1,5,0,5,0,1,1
"7926",8230,20,0,3,0,1,8,1,7,0,1,7
"7927",5266,20.3,0,1,0,1,6,0,2,0,1,5
"7928",1779,20.4,0,5,0,1,8,0,6,0,1,3
"7929",8978,20.7,0,5,0,1,5,1,6,0,1,7
"7930",1185,21.1,0,4,0,1,6,0,8,0,1,3
"7931",949,21.1,0,2,0,1,8,0,3,0,1,3
"7932",7980,21.3,0,4,0,1,8,1,5,0,1,0
"7933",3748,21.3,0,5,0,1,8,0,8,0,1,9
"7934",2500,21.4,0,2,0,1,6,0,4,0,1,0
"7935",257,21.4,0,3,0,1,6,0,4,0,1,4
"7936",3864,21.4,0,1,0,1,5,0,2,0,1,8
"7937",4238,21.5,0,5,0,1,6,0,5,0,1,0
"7938",8812,21.9,0,2,0,1,8,1,8,0,1,2
"7939",10770,22.3,0,1,0,1,5,1,6,0,1,6
"7940",4502,23.8,0,4,0,1,6,0,4,0,1,3
"7941",714,24.1,0,1,0,1,5,0,3,0,1,7
"7942",4711,24.8,0,1,0,1,6,0,5,0,1,4
"7943",1015,25.2,0,1,0,1,5,0,5,0,1,2
"7944",5174,25.6,0,4,0,1,5,0,8,0,1,8
"7945",1544,25.6,0,2,0,1,8,0,5,0,1,9
"7946",54,26,0,5,0,1,7,0,8,0,1,7
"7947",6206,26,0,2,0,1,6,1,3,0,1,10
"7948",1772,26.1,0,3,0,1,8,0,8,0,1,2
"7949",5680,26.4,0,3,0,1,7,1,7,0,1,5
"7950",2507,26.4,0,2,0,1,7,0,1,0,1,3
"7951",8967,26.6,0,3,0,1,5,1,6,0,1,1
"7952",810,26.9,0,1,0,1,5,0,1,0,1,10
"7953",9154,26.9,0,3,0,1,7,1,8,0,1,7
"7954",10740,27.1,0,4,0,1,8,1,3,0,1,7
"7955",10362,28.3,0,1,0,1,6,1,7,0,1,2
"7956",2960,28.8,0,2,0,1,7,0,1,0,1,4
"7957",8450,29.1,0,3,0,1,5,1,1,0,1,8
"7958",8654,29.8,0,1,0,1,5,1,6,0,1,6
"7986",8191,5.9,0,1,0,1,6,1,6,0,1,1
"7987",1675,6.5,0,3,0,1,8,0,5,0,1,4
"7988",5245,6.8,0,4,0,1,6,0,4,0,1,2
"7989",9256,6.8,0,4,0,1,7,1,8,0,1,7
"7990",4969,6.8,0,1,0,1,5,0,8,0,1,3
"7991",4522,6.9,0,4,0,1,8,0,8,0,1,2
"7992",6489,7.3,0,1,0,1,6,1,4,0,1,4
"7993",10832,7.3,0,4,0,1,5,1,3,0,1,10
"7994",3767,8.3,0,2,0,1,6,0,6,0,1,1
"7995",7304,8.4,0,3,0,1,8,1,6,0,1,3
"7996",10856,8.6,0,4,0,1,7,1,1,0,1,5
"7997",8774,8.6,0,3,0,1,6,1,2,0,1,4
"7998",8389,8.8,0,4,0,1,5,1,4,0,1,1
"7999",9656,9.7,0,2,0,1,7,1,7,0,1,3
"8000",6598,9.9,0,4,0,1,8,1,2,0,1,3
"8001",1195,10.8,0,3,0,1,5,0,5,0,1,3
"8002",3218,11,0,2,0,1,8,0,3,0,1,4
"8003",6999,11.3,0,4,0,1,6,1,4,0,1,4
"8004",1432,11.3,0,5,0,1,8,0,5,0,1,4
"8005",7635,11.5,0,5,0,1,8,1,6,0,1,1
"8006",4959,11.8,0,2,0,1,6,0,2,0,1,4
"8007",4326,12.1,0,4,0,1,6,0,6,0,1,9
"8008",5260,12.3,0,1,0,1,6,0,6,0,1,4
"8009",7270,12.4,0,4,0,1,5,1,3,0,1,7
"8010",415,12.6,0,2,0,1,8,0,6,0,1,2
"8011",6946,13,0,3,0,1,6,1,3,0,1,2
"8012",2450,13.1,0,3,0,1,5,0,2,0,1,2
"8013",6981,13.2,0,2,0,1,8,1,7,0,1,2
"8014",10463,14.7,0,5,0,1,7,1,6,0,1,0
"8015",7200,14.8,0,1,0,1,5,1,6,0,1,5
"8016",5740,14.9,0,3,0,1,7,1,4,0,1,5
"8017",3513,15.3,0,2,0,1,8,0,5,0,1,3
"8018",5544,15.3,0,2,0,1,8,1,8,0,1,8
"8019",9751,16.2,0,4,0,1,7,1,3,0,1,0
"8020",5116,16.2,0,2,0,1,7,0,8,0,1,10
"8021",6352,16.8,0,2,0,1,6,1,7,0,1,6
"8022",2850,17.3,0,2,0,1,6,0,3,0,1,0
"8023",444,17.4,0,2,0,1,7,0,5,0,1,10
"8024",1754,17.7,0,1,0,1,7,0,1,0,1,4
"8025",1908,17.8,0,4,0,1,5,0,7,0,1,9
"8026",996,18.3,0,5,0,1,8,0,6,0,1,0
"8027",2708,18.3,0,4,0,1,5,0,7,0,1,9
"8028",8916,18.3,0,2,0,1,5,1,8,0,1,6
"8029",1284,18.9,0,4,0,1,5,0,7,0,1,9
"8030",8100,19.1,0,2,0,1,7,1,8,0,1,5
"8031",1294,19.6,0,3,0,1,7,0,5,0,1,8
"8032",10094,19.8,0,3,0,1,6,1,7,0,1,6
"8033",9734,20.7,0,3,0,1,8,1,1,0,1,3
"8034",10654,20.7,0,1,0,1,8,1,4,0,1,3
"8035",7256,20.8,0,1,0,1,7,1,6,0,1,4
"8036",3467,21,0,5,0,1,6,0,7,0,1,3
"8037",6250,21.3,0,2,0,1,7,1,2,0,1,0
"8038",10290,21.4,0,5,0,1,6,1,1,0,1,9
"8039",1421,21.6,0,2,0,1,6,0,6,0,1,3
"8040",5979,21.7,0,4,0,1,7,1,3,0,1,4
"8041",3317,21.9,0,4,0,1,5,0,5,0,1,3
"8042",9518,22,0,2,0,1,5,1,4,0,1,5
"8043",964,22.6,0,4,0,1,6,0,4,0,1,8
"8044",3804,22.7,0,1,0,1,8,0,8,0,1,1
"8045",9340,22.8,0,3,0,1,6,1,5,0,1,8
"8046",6779,23.3,0,5,0,1,8,1,8,0,1,3
"8047",6547,23.7,0,4,0,1,8,1,8,0,1,4
"8048",5771,25,0,2,0,1,5,1,6,0,1,3
"8049",4104,25.3,0,2,0,1,6,0,5,0,1,4
"8050",8252,25.5,0,2,0,1,8,1,8,0,1,3
"8051",10633,25.6,0,3,0,1,5,1,4,0,1,1
"8052",6862,26.3,0,1,0,1,7,1,8,0,1,2
"8053",9192,26.5,0,1,0,1,8,1,3,0,1,0
"8054",8434,26.5,0,1,0,1,7,1,8,0,1,4
"8055",814,26.6,0,4,0,1,5,0,1,0,1,10
"8056",2880,26.6,0,3,0,1,5,0,2,0,1,5
"8057",1100,26.7,0,4,0,1,5,0,6,0,1,10
"8058",10268,26.8,0,5,0,1,7,1,2,0,1,1
"8059",4030,27.4,0,1,0,1,8,0,8,0,1,4
"8060",744,27.5,0,3,0,1,5,0,7,0,1,8
"8061",2328,28,0,5,0,1,5,0,1,0,1,9
"8062",7816,28,0,3,0,1,7,1,5,0,1,6
"8063",1780,28,0,4,0,1,7,0,2,0,1,5
"8064",7780,28.5,0,5,0,1,8,1,4,0,1,10
"8065",3920,28.6,0,1,0,1,5,0,5,0,1,10
"8066",2266,28.6,0,3,0,1,7,0,7,0,1,3
"8067",3226,28.7,0,3,0,1,6,0,7,0,1,1
"8068",6973,29.1,0,5,0,1,7,1,1,0,1,3
"8069",3152,29.2,0,5,0,1,8,0,4,0,1,10
"8081",8155,3.2,0,2,0,1,6,1,4,0,1,0
"8082",6092,3.2,0,4,0,1,5,1,2,0,1,9
"8083",3409,3.5,0,5,0,1,8,0,6,0,1,4
"8084",1176,3.5,0,2,0,1,8,0,4,0,1,6
"8085",7482,4,0,5,0,1,5,1,7,0,1,6
"8086",9130,4.3,0,4,0,1,7,1,1,0,1,7
"8087",7698,4.7,0,1,0,1,6,1,5,0,1,10
"8088",9770,4.8,0,4,0,1,7,1,5,0,1,10
"8089",2339,4.8,0,3,0,1,8,0,4,0,1,0
"8090",1924,4.8,0,4,0,1,7,0,3,0,1,2
"8091",8249,4.9,0,1,0,1,8,1,2,0,1,1
"8092",2932,5.6,0,1,0,1,5,0,7,0,1,1
"8093",10068,5.9,0,1,0,1,8,1,5,0,1,6
"8094",7566,5.9,0,5,0,1,7,1,4,0,1,5
"8095",4250,6.1,0,2,0,1,8,0,1,0,1,8
"8096",7954,6.2,0,1,0,1,5,1,7,0,1,8
"8097",5154,6.7,0,1,0,1,7,0,6,0,1,1
"8098",789,7,0,1,0,1,7,0,7,0,1,0
"8099",2412,7.7,0,5,0,1,8,0,2,0,1,8
"8100",14,7.7,0,3,0,1,8,0,2,0,1,1
"8101",1771,7.8,0,5,0,1,6,0,5,0,1,3
"8102",1162,7.8,0,5,0,1,7,0,3,0,1,8
"8103",4510,8.1,0,5,0,1,5,0,3,0,1,2
"8104",6391,8.1,0,1,0,1,6,1,8,0,1,2
"8105",763,8.5,0,2,0,1,5,0,4,0,1,1
"8106",7501,8.6,0,1,0,1,7,1,2,0,1,0
"8107",4124,8.6,0,4,0,1,8,0,3,0,1,0
"8108",2203,8.6,0,3,0,1,7,0,2,0,1,1
"8109",224,8.7,0,4,0,1,7,0,3,0,1,4
"8110",1449,9.5,0,4,0,1,6,0,6,0,1,1
"8111",7396,9.6,0,5,0,1,8,1,3,0,1,0
"8112",8646,9.8,0,3,0,1,7,1,2,0,1,8
"8113",3406,10,0,5,0,1,8,0,6,0,1,2
"8114",4148,10.5,0,2,0,1,8,0,5,0,1,4
"8115",9434,10.6,0,2,0,1,8,1,3,0,1,5
"8116",2720,11.5,0,4,0,1,7,0,7,0,1,1
"8117",2784,11.5,0,3,0,1,5,0,6,0,1,1
"8118",7588,11.6,0,1,0,1,6,1,2,0,1,9
"8119",7084,11.7,0,3,0,1,6,1,8,0,1,2
"8120",5002,12.3,0,1,0,1,5,0,1,0,1,2
"8121",515,12.4,0,2,0,1,6,0,5,0,1,0
"8122",3895,12.6,0,1,0,1,5,0,6,0,1,4
"8123",10672,12.7,0,4,0,1,5,1,3,0,1,4
"8124",10806,12.8,0,5,0,1,6,1,3,0,1,10
"8125",8766,12.8,0,5,0,1,5,1,8,0,1,7
"8126",9516,13.1,0,1,0,1,7,1,2,0,1,2
"8127",4172,13.5,0,2,0,1,5,0,2,0,1,1
"8128",3450,13.6,0,3,0,1,6,0,1,0,1,4
"8129",9470,13.7,0,4,0,1,5,1,8,0,1,8
"8130",4138,14.8,0,2,0,1,7,0,7,0,1,9
"8131",8460,15.1,0,1,0,1,5,1,3,0,1,8
"8132",8561,15.3,0,3,0,1,7,1,8,0,1,3
"8133",7279,15.6,0,4,0,1,6,1,5,0,1,1
"8134",7624,15.8,0,1,0,1,6,1,3,0,1,1
"8135",3262,16.4,0,5,0,1,8,0,8,0,1,10
"8136",708,16.5,0,2,0,1,5,0,2,0,1,4
"8137",3021,16.6,0,5,0,1,6,0,1,0,1,0
"8138",3746,17,0,5,0,1,7,0,6,0,1,10
"8139",483,17,0,1,0,1,8,0,6,0,1,3
"8140",3651,17.1,0,5,0,1,5,0,5,0,1,2
"8141",6103,17.2,0,3,0,1,6,1,6,0,1,0
"8142",1825,17.3,0,5,0,1,6,0,7,0,1,1
"8143",7220,17.4,0,2,0,1,7,1,3,0,1,6
"8144",5324,17.6,0,5,0,1,5,0,6,0,1,10
"8145",692,17.7,0,2,0,1,5,0,2,0,1,5
"8146",10650,18.4,0,3,0,1,8,1,1,0,1,1
"8147",3371,19.1,0,3,0,1,6,0,4,0,1,4
"8148",4982,19.6,0,1,0,1,8,0,4,0,1,0
"8149",958,19.7,0,1,0,1,6,0,3,0,1,5
"8150",6514,20.1,0,1,0,1,6,1,6,0,1,1
